ClienteID,Region,Sucursal,Canal,Producto,Fecha_Desembolso,Ingreso_Mensual_Gs,Score_Crediticio,Monto_Gs,TNA_%,Pagos_Por_Anio,Mora,Mora_Dias,Meses_Recuperacion
CLI-000001,Central,Pedro Juan Caballero,Sucursal,PyME,2023-06-30,1933833,533,20000000,18.41,12,0,0,57
CLI-000002,Itapúa,Pilar,Sucursal,Consumo,2023-10-09,7032000,773,5895444,27.26,12,0,0,25
CLI-000003,Presidente Hayes,Filadelfia,Online,Tarjeta,2025-08-01,6237989,583,3817164,42.77,12,0,0,60
CLI-000004,Boquerón,Villa Hayes,Aliado,Vehicular,2024-11-10,3229804,703,13843665,20.02,6,1,300,0
CLI-000005,Itapúa,San Juan Bautista,Sucursal,Vehicular,2023-04-15,4437127,634,11767567,22.08,4,0,0,17
CLI-000006,Cordillera,Fuerte Olimpo,Aliado,PyME,2024-08-02,3524702,591,20000000,21.57,12,0,0,39
CLI-000007,Misiones,Asunción Luque,Sucursal,PyME,2022-01-18,8788643,497,20000000,14.59,4,1,180,0
CLI-000008,Asunción,Caacupé,Aliado,Consumo,2022-10-22,4537697,583,3190073,19.51,4,0,0,25
CLI-000009,Ñeembucú,San Juan Bautista,Online,Tarjeta,2023-11-23,5652065,648,3247366,44.8,12,0,0,48
CLI-000010,Caazapá,Concepción,Aliado,Consumo,2022-11-21,6406385,535,9524573,29.09,6,1,300,0
CLI-000011,San Pedro,Asunción Luque,App,Tarjeta,2023-05-14,3434835,449,1000000,49.91,12,0,0,22
CLI-000012,Amambay,Villarrica,Sucursal,Tarjeta,2023-10-12,2059901,746,3439079,30.56,12,0,0,58
CLI-000013,Boquerón,San Pedro del Ycuamandiyú,Aliado,Vivienda,2024-10-23,16532968,779,30000000,12.25,6,0,0,46
CLI-000014,Canindeyú,San Pedro del Ycuamandiyú,App,Vivienda,2024-07-08,2796783,625,83987854,9.56,6,0,0,22
CLI-000015,Caaguazú,Fuerte Olimpo,Aliado,Vehicular,2022-05-22,1800000,525,10000000,20.03,4,1,330,0
CLI-000016,Caazapá,Pedro Juan Caballero,Aliado,Tarjeta,2025-03-16,4838917,814,1189320,32.47,12,0,0,34
CLI-000017,Cordillera,Filadelfia,Sucursal,PyME,2025-01-14,9040718,685,41657414,31.66,6,0,0,20
CLI-000018,Itapúa,Pedro Juan Caballero,App,Vivienda,2024-05-02,4624144,544,30000000,15.63,4,0,0,27
CLI-000019,Boquerón,Caazapá,Online,Vehicular,2024-12-16,2537557,550,10000000,19.98,4,0,0,30
CLI-000020,Cordillera,Filadelfia,Online,Vivienda,2023-03-10,3866425,599,30000000,11.9,12,1,120,0
CLI-000021,Canindeyú,Concepción,Online,Vehicular,2022-08-19,2879080,570,64799936,17.8,4,0,0,34
CLI-000022,Ñeembucú,Fuerte Olimpo,Online,PyME,2022-06-07,14499594,716,20000000,23.93,12,0,0,27
CLI-000023,Concepción,San Juan Bautista,Online,PyME,2022-04-07,10217293,603,20000000,29.32,12,1,60,0
CLI-000024,San Pedro,Asunción San Lorenzo,Sucursal,Vivienda,2023-03-25,2697391,653,30000000,13.15,12,1,30,0
CLI-000025,Misiones,Caazapá,Online,Vivienda,2023-04-27,8411494,704,30000000,11.06,12,1,60,0
CLI-000026,Alto Paraná,Villarrica,App,Vivienda,2022-09-14,17649248,725,97350089,14.0,6,0,0,59
CLI-000027,Canindeyú,Asunción San Lorenzo,App,Vehicular,2023-10-04,2847795,597,31072135,13.46,4,0,0,41
CLI-000028,Paraguarí,Pilar,Sucursal,Vivienda,2023-02-25,8037160,590,35021122,13.9,6,1,360,0
CLI-000029,Asunción,Caacupé,Online,Vehicular,2023-01-12,6247619,647,10000000,17.75,4,1,270,0
CLI-000030,Alto Paraná,Fuerte Olimpo,Sucursal,Vehicular,2023-08-11,12620739,598,39498748,15.29,12,0,0,46
CLI-000031,Alto Paraná,Caazapá,Aliado,Vehicular,2023-01-05,7880774,681,10000000,24.38,6,1,30,0
CLI-000032,Alto Paraná,Pilar,App,Tarjeta,2022-04-20,7359308,620,1028995,45.69,12,0,0,7
CLI-000033,Cordillera,Concepción,App,Vivienda,2024-05-24,2960390,666,109974156,16.76,4,0,0,29
CLI-000034,Itapúa,Coronel Oviedo,Sucursal,PyME,2022-03-29,7001977,533,58279591,21.41,4,0,0,47
CLI-000035,Ñeembucú,San Pedro del Ycuamandiyú,Online,Educativo,2025-09-09,4539485,603,4000000,19.38,6,0,0,32
CLI-000036,Amambay,Concepción,Aliado,Vivienda,2024-12-28,5888022,585,51768906,17.49,4,1,330,0
CLI-000037,Guairá,Fuerte Olimpo,Aliado,Consumo,2024-02-01,2306530,516,31124490,39.45,4,1,300,0
CLI-000038,Ñeembucú,Encarnación,Sucursal,PyME,2024-12-12,9877391,725,20000000,28.14,4,0,0,26
CLI-000039,Boquerón,Caacupé,Online,Consumo,2022-04-19,10640454,749,3162191,20.29,4,0,0,37
CLI-000040,Caaguazú,Filadelfia,Sucursal,PyME,2022-11-16,5438639,784,30565371,21.73,6,0,0,24
CLI-000041,Caazapá,Caazapá,Sucursal,Consumo,2022-03-19,7570722,591,27955619,27.43,4,0,0,49
CLI-000042,Guairá,Asunción San Lorenzo,Online,Vivienda,2025-08-31,4048970,680,96446586,12.13,4,0,0,23
CLI-000043,Misiones,Fuerte Olimpo,App,Educativo,2022-05-27,2486994,654,6634295,14.8,6,1,120,0
CLI-000044,Caaguazú,San Juan Bautista,Online,Vehicular,2024-04-29,7105565,651,10000000,14.74,12,0,0,29
CLI-000045,Caaguazú,Coronel Oviedo,Sucursal,Consumo,2024-05-14,13910327,481,6897460,28.18,6,0,0,55
CLI-000046,San Pedro,San Juan Bautista,App,Consumo,2023-11-14,6099869,666,4895698,20.91,6,0,0,24
CLI-000047,Cordillera,San Pedro del Ycuamandiyú,Aliado,Vehicular,2023-04-09,7014821,491,10183091,15.1,6,0,0,19
CLI-000048,Paraguarí,Caazapá,Aliado,Vehicular,2024-09-01,6868617,505,50821803,13.11,6,0,0,14
CLI-000049,San Pedro,Pilar,Online,Vivienda,2022-04-28,2964672,484,30000000,17.18,12,0,0,35
